method	path	rust_source	legacy_handler	frozen_ledger	behavior_test	rationale
POST	/v1/images/variations	rust/apps/lmm-api-rs/src/migration_routes/relay_misc.rs	github.com/QuantumNous/new-api/controller.RelayNotImplemented	rust/routes/legacy-go-routes.tsv@sha256:f2eee05a655d2a52aef601c44597e5b87222c5fd57dfd4f70d9de974edc6917e	rust/apps/lmm-api-rs/tests/migration_relay_misc.rs	legacy token-authenticated explicit 501; no channel or upstream relay
GET	/v1/files	rust/apps/lmm-api-rs/src/migration_routes/relay_misc.rs	github.com/QuantumNous/new-api/controller.RelayNotImplemented	rust/routes/legacy-go-routes.tsv@sha256:f2eee05a655d2a52aef601c44597e5b87222c5fd57dfd4f70d9de974edc6917e	rust/apps/lmm-api-rs/tests/migration_relay_misc.rs	legacy token-authenticated explicit 501; no channel or upstream relay
POST	/v1/files	rust/apps/lmm-api-rs/src/migration_routes/relay_misc.rs	github.com/QuantumNous/new-api/controller.RelayNotImplemented	rust/routes/legacy-go-routes.tsv@sha256:f2eee05a655d2a52aef601c44597e5b87222c5fd57dfd4f70d9de974edc6917e	rust/apps/lmm-api-rs/tests/migration_relay_misc.rs	legacy token-authenticated explicit 501; no channel or upstream relay
DELETE	/v1/files/:id	rust/apps/lmm-api-rs/src/migration_routes/relay_misc.rs	github.com/QuantumNous/new-api/controller.RelayNotImplemented	rust/routes/legacy-go-routes.tsv@sha256:f2eee05a655d2a52aef601c44597e5b87222c5fd57dfd4f70d9de974edc6917e	rust/apps/lmm-api-rs/tests/migration_relay_misc.rs	legacy token-authenticated explicit 501; no channel or upstream relay
GET	/v1/files/:id	rust/apps/lmm-api-rs/src/migration_routes/relay_misc.rs	github.com/QuantumNous/new-api/controller.RelayNotImplemented	rust/routes/legacy-go-routes.tsv@sha256:f2eee05a655d2a52aef601c44597e5b87222c5fd57dfd4f70d9de974edc6917e	rust/apps/lmm-api-rs/tests/migration_relay_misc.rs	legacy token-authenticated explicit 501; no channel or upstream relay
GET	/v1/files/:id/content	rust/apps/lmm-api-rs/src/migration_routes/relay_misc.rs	github.com/QuantumNous/new-api/controller.RelayNotImplemented	rust/routes/legacy-go-routes.tsv@sha256:f2eee05a655d2a52aef601c44597e5b87222c5fd57dfd4f70d9de974edc6917e	rust/apps/lmm-api-rs/tests/migration_relay_misc.rs	legacy token-authenticated explicit 501; no channel or upstream relay
GET	/v1/fine-tunes	rust/apps/lmm-api-rs/src/migration_routes/relay_misc.rs	github.com/QuantumNous/new-api/controller.RelayNotImplemented	rust/routes/legacy-go-routes.tsv@sha256:f2eee05a655d2a52aef601c44597e5b87222c5fd57dfd4f70d9de974edc6917e	rust/apps/lmm-api-rs/tests/migration_relay_misc.rs	legacy token-authenticated explicit 501; no channel or upstream relay
POST	/v1/fine-tunes	rust/apps/lmm-api-rs/src/migration_routes/relay_misc.rs	github.com/QuantumNous/new-api/controller.RelayNotImplemented	rust/routes/legacy-go-routes.tsv@sha256:f2eee05a655d2a52aef601c44597e5b87222c5fd57dfd4f70d9de974edc6917e	rust/apps/lmm-api-rs/tests/migration_relay_misc.rs	legacy token-authenticated explicit 501; no channel or upstream relay
GET	/v1/fine-tunes/:id	rust/apps/lmm-api-rs/src/migration_routes/relay_misc.rs	github.com/QuantumNous/new-api/controller.RelayNotImplemented	rust/routes/legacy-go-routes.tsv@sha256:f2eee05a655d2a52aef601c44597e5b87222c5fd57dfd4f70d9de974edc6917e	rust/apps/lmm-api-rs/tests/migration_relay_misc.rs	legacy token-authenticated explicit 501; no channel or upstream relay
POST	/v1/fine-tunes/:id/cancel	rust/apps/lmm-api-rs/src/migration_routes/relay_misc.rs	github.com/QuantumNous/new-api/controller.RelayNotImplemented	rust/routes/legacy-go-routes.tsv@sha256:f2eee05a655d2a52aef601c44597e5b87222c5fd57dfd4f70d9de974edc6917e	rust/apps/lmm-api-rs/tests/migration_relay_misc.rs	legacy token-authenticated explicit 501; no channel or upstream relay
GET	/v1/fine-tunes/:id/events	rust/apps/lmm-api-rs/src/migration_routes/relay_misc.rs	github.com/QuantumNous/new-api/controller.RelayNotImplemented	rust/routes/legacy-go-routes.tsv@sha256:f2eee05a655d2a52aef601c44597e5b87222c5fd57dfd4f70d9de974edc6917e	rust/apps/lmm-api-rs/tests/migration_relay_misc.rs	legacy token-authenticated explicit 501; no channel or upstream relay
DELETE	/v1/models/:model	rust/apps/lmm-api-rs/src/migration_routes/relay_anthropic_gemini.rs	github.com/QuantumNous/new-api/controller.RelayNotImplemented	rust/routes/legacy-go-routes.tsv@sha256:f2eee05a655d2a52aef601c44597e5b87222c5fd57dfd4f70d9de974edc6917e	rust/apps/lmm-api-rs/tests/migration_relay_anthropic_gemini.rs	legacy token-authenticated explicit 501 with single-segment model guard
