# method	path	Rust handler
GET	/api/about	lmm_api_rs::http::about
GET	/api/home_page_content	lmm_api_rs::http::home_page_content
GET	/api/notice	lmm_api_rs::http::notice
GET	/api/status	lmm_api_rs::http::status
GET	/api/token/	lmm_api_rs::migration_routes::api_token::list
POST	/api/token/	lmm_api_rs::migration_routes::api_token::create
PUT	/api/token/	lmm_api_rs::migration_routes::api_token::update
DELETE	/api/token/:id	lmm_api_rs::migration_routes::api_token::remove
GET	/api/token/:id	lmm_api_rs::migration_routes::api_token::detail
POST	/api/token/:id/key	lmm_api_rs::migration_routes::api_token::key
POST	/api/token/batch	lmm_api_rs::migration_routes::api_token::batch_delete
POST	/api/token/batch/keys	lmm_api_rs::migration_routes::api_token::batch_keys
GET	/api/token/search	lmm_api_rs::migration_routes::api_token::search
GET	/api/user/self	lmm_api_rs::auth::http::self_user
POST	/api/user/auth/logout	lmm_api_rs::auth::http::logout
POST	/api/user/auth/refresh	lmm_api_rs::auth::http::refresh
POST	/api/user/login	lmm_api_rs::auth::http::login
GET	/v1/models	lmm_api_rs::models::list_models
GET	/v1beta/models	lmm_api_rs::models::list_gemini_models
GET	/v1beta/openai/models	lmm_api_rs::models::list_gemini_openai_models
